"","","","","Attention","","","",""
"Animal Number","Group","Lactation days","Day Production (24h)","Sensor","Value","Severeness","Sick Chance","Sick Change Status"
"77","South Milking Cows","35","58.9","Blood LF<br/>SCC Indication<br/>Milk Drop<br/>Abnormal LF<br/>Conductivity LF<br/>Activity(rumination)<br/>Milk Temperature<br/>"," <br/>2795  <br/>-18.2  <br/> <br/>95    <br/>87    <br/>103.1  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/>","99",""
"4","South Milking Cows","14","24.0","SCC Indication<br/>Activity(rumination)<br/>Fat Protein Ratio<br/>Fresh cow performance<br/>Rest Feed<br/>","846   <br/>80    <br/>1.82  <br/>25    <br/>39    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","94",""
"184","North Milking Cows","2","8.2","Activity(rumination)<br/>Conductivity RF<br/>Mastitis RF<br/>","76    <br/>150   <br/> <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","91","Increase"
"224","South Milking Cows","4","42.5","SCC Indication<br/>Activity(rumination)<br/>Fresh cow performance<br/>","431   <br/>83    <br/>58    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/>","78","Increase"
"2","Main","6","27.3","Activity(rumination)<br/>Abnormal LF, LR, RF, RR<br/>Fresh cow performance<br/>","77    <br/> <br/>65    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>","76",""
"173","South Milking Cows","10","73.4","Conductivity RR<br/>Mastitis RR<br/>Milk Drop<br/>Fat Protein Ratio<br/>Rest Feed<br/>","104   <br/> <br/>-5.2  <br/>1.01  <br/>36    <br/>","<span style='width:75%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:56%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","70",""
"139","North Milking Cows","228","46.3","Milk Drop<br/>Mastitis RR<br/>Conductivity RR<br/>","-16.7  <br/> <br/>87    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","49",""
"42","South Milking Cows","131","80.2","Activity(rumination)<br/>","75    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/>","47","Decrease"
"236","North Milking Cows","13","38.4","Activity(rumination)<br/>Fresh cow performance<br/>Milk Temperature<br/>","80    <br/>59    <br/>102.5  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","44",""
"64","South Milking Cows","229","49.2","Activity(rumination)<br/>Time Away<br/>","77    <br/>18:47 <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>","42","Increase"
"191","South Milking Cows","17","39.5","SCC Indication<br/>Fresh cow performance<br/>","1467  <br/>52    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/>","40","Decrease"
"82","North Milking Cows","269","29.1","Milk Drop<br/>Mastitis RF<br/>Rest Feed<br/>","-17.1  <br/> <br/>49    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>","35","Decrease"
"185","North Milking Cows","227","43.4","Milk Drop<br/>Milk Temperature<br/>Conductivity LR<br/>","-22.4 <br/>103.1  <br/>99    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","35",""
"92","South Milking Cows","172","84.7","SCC Indication<br/>Milk Drop<br/>","2683  <br/>-9.0  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","30","Decrease"
"192","South Milking Cows","228","58.6","SCC Indication<br/>Conductivity RR<br/>Mastitis RR<br/>","3480  <br/>134   <br/> <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:68%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","30",""
"17","South Milking Cows","320","82.9","Mastitis RF<br/>Conductivity RF<br/>Milk Temperature<br/>"," <br/>115   <br/>102.9  <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:43%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","22","Increase"
"137","North Milking Cows","272","0.0","Activity(rumination)<br/>","85    <br/>","<span style='width:50%'class='severnesslinebar'></span><br/>","20",""
"252","North Milking Cows","1","17.4","Abnormal LF, LR, RF, RR<br/>Time Away<br/>"," <br/>20:51 <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","19","Increase"
"346","North Milking Cows","5","45.4","Activity(rumination)<br/>Fat Protein Ratio<br/>","86    <br/>0.99  <br/>","<span style='width:37%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","12","Increase"
"247","North Milking Cows","2","21.6","Conductivity RF<br/>Time Away<br/>","87    <br/>19:50 <br/>","<span style='width:18%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","11","New"
"260","South Milking Cows","175","81.8","Time Away<br/>","13:46 <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","10","Decrease"