"","","Attention","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness"
"77","3086851","Mastitis LF<br/>Fat Protein Ratio<br/>Conductivity LF<br/>"," <br/>1.61  <br/>106   <br/>","<span style='width:66%'class='severnesslinebar'></span><br/><span style='width:53%'class='severnesslinebar'></span><br/><span style='width:33%'class='severnesslinebar'></span><br/>"
"185","3087303","Milk Drop<br/>Conductivity LR<br/>","-25.3 <br/>88    <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"64","3087236","Fat Protein Ratio<br/>Fresh cow performance<br/>Time Away<br/>","1.65  <br/>31    <br/>17:44 <br/>","<span style='width:53%'class='severnesslinebar'></span><br/><span style='width:53%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"346","3183472","Milk Drop<br/>Conductivity LF<br/>Mastitis LF<br/>","-35.9 <br/>108   <br/> <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:93%'class='severnesslinebar'></span><br/><span style='width:66%'class='severnesslinebar'></span><br/>"
"60","3087116","Milk Drop<br/>Time Away<br/>","-21.6  <br/>30:57 <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:86%'class='severnesslinebar'></span><br/>"
"257","6634640","Conductivity LR<br/>Mastitis LR<br/>Fresh cow performance<br/>Abnormal LR<br/>Milk Temperature<br/>","109   <br/> <br/>58    <br/> <br/>103.6  <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:66%'class='severnesslinebar'></span><br/><span style='width:53%'class='severnesslinebar'></span><br/><span style='width:53%'class='severnesslinebar'></span><br/><span style='width:46%'class='severnesslinebar'></span><br/>"
"27","3087387","Activity(rumination)<br/>Fresh cow performance<br/>","79    <br/>62    <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:46%'class='severnesslinebar'></span><br/>"
"17","3086731","Mastitis RF<br/>Conductivity RF<br/>Time Away<br/>"," <br/>110   <br/>15:20 <br/>","<span style='width:66%'class='severnesslinebar'></span><br/><span style='width:40%'class='severnesslinebar'></span><br/><span style='width:26%'class='severnesslinebar'></span><br/>"
"39","6642027","Activity(rumination)<br/>","78    <br/>","<span style='width:99%'class='severnesslinebar'></span><br/>"
"217","6634709","Milk Drop<br/>Fat Protein Ratio<br/>","-17.1  <br/>0.98  <br/>","<span style='width:93%'class='severnesslinebar'></span><br/><span style='width:26%'class='severnesslinebar'></span><br/>"
"12","3086327","Milk Temperature<br/>Conductivity RR<br/>","103.8  <br/>84    <br/>","<span style='width:53%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"261","6634657","Milk Temperature<br/>Time Away<br/>","103.6  <br/>10:23 <br/>","<span style='width:46%'class='severnesslinebar'></span><br/><span style='width:13%'class='severnesslinebar'></span><br/>"
"231","6635053","Conductivity RR<br/>Mastitis RR<br/>Milk Temperature<br/>","133   <br/> <br/>102.7  <br/>","<span style='width:73%'class='severnesslinebar'></span><br/><span style='width:66%'class='severnesslinebar'></span><br/><span style='width:13%'class='severnesslinebar'></span><br/>"